Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
scalar,5000000,clean,default,64MB,fetch_and2,roaring,7,11.886,11.597–12.463,12.574,3.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.047,11.934
scalar,5000000,clean,default,64MB,fetch_and2,roaring_bitmap,7,19.390,11.745–21.628,21.640,25.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.047,19.437
scalar,5000000,clean,default,64MB,fetch_and3,btree,7,14.242,13.981–14.944,14.980,4.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.075,14.321
scalar,5000000,clean,default,64MB,fetch_and3,gin,7,26.409,26.057–35.228,36.136,16.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.098,26.520
scalar,5000000,clean,default,64MB,fetch_and3,roaring,7,12.021,11.661–12.250,12.344,2.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.056,12.071
scalar,5000000,clean,default,64MB,fetch_and3,roaring_bitmap,7,12.095,11.243–12.494,13.870,9.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.066,12.147
scalar,5000000,clean,default,64MB,fetch_broad,btree,7,443.553,418.015–508.479,538.113,13.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.061,443.599
scalar,5000000,clean,default,64MB,fetch_broad,gin,7,388.424,360.561–477.519,503.887,16.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.071,388.495
scalar,5000000,clean,default,64MB,fetch_broad,roaring,7,476.670,388.879–567.261,575.042,18.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.040,476.712
scalar,5000000,clean,default,64MB,fetch_broad,roaring_bitmap,7,450.109,350.962–548.344,557.470,20.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.056,450.175
scalar,5000000,clean,default,64MB,fetch_c1m,btree,7,0.065,0.060–0.066,0.067,7.0%,—,Index Scan,0.060,0.126
scalar,5000000,clean,default,64MB,fetch_c1m,gin,7,0.221,0.137–0.364,0.391,54.2%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.076,0.352
scalar,5000000,clean,default,64MB,fetch_c1m,roaring,7,0.127,0.031–0.384,0.399,89.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.039,0.186
scalar,5000000,clean,default,64MB,fetch_c1m,roaring_bitmap,7,0.291,0.055–0.764,0.809,92.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.067,0.369
scalar,5000000,clean,default,64MB,fetch_in_and,btree,7,107.771,41.729–113.381,131.743,43.7%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.053,107.824
scalar,5000000,clean,default,64MB,fetch_in_and,gin,7,141.845,103.801–153.616,155.820,20.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.062,141.930
scalar,5000000,clean,default,64MB,fetch_in_and,roaring,7,101.156,55.850–106.694,111.034,34.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.052,101.207
scalar,5000000,clean,default,64MB,fetch_in_and,roaring_bitmap,7,87.037,37.062–100.085,101.558,44.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.063,87.115
scalar,5000000,clean,default,64MB,fetch_medium,btree,7,18.477,15.130–178.054,199.640,127.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.044,18.548
scalar,5000000,clean,default,64MB,fetch_medium,gin,7,143.279,17.427–175.624,201.321,80.7%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.051,143.347
scalar,5000000,clean,default,64MB,fetch_medium,roaring,7,182.180,19.217–186.287,198.398,59.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.040,182.220
scalar,5000000,clean,default,64MB,fetch_medium,roaring_bitmap,7,112.511,60.214–187.220,242.514,65.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.061,112.572
scalar,5000000,clean,default,64MB,fetch_rare,btree,7,1.620,1.335–1.956,2.336,44.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.054,1.682
scalar,5000000,clean,default,64MB,fetch_rare,gin,7,1.689,1.155–1.825,1.962,41.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.069,1.836
scalar,5000000,clean,default,64MB,fetch_rare,roaring,7,1.369,1.243–1.515,1.846,42.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.038,1.407
scalar,5000000,clean,default,64MB,fetch_rare,roaring_bitmap,7,0.749,0.208–1.636,1.810,84.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.056,0.788
scalar,5000000,clean,default,64MB,group_c2,btree,7,395.762,388.805–398.073,398.294,1.6%,—,Index Only Scan,0.040,395.802
scalar,5000000,clean,default,64MB,group_c2,gin,7,919.447,870.905–964.676,1026.262,7.3%,—,Seq Scan (fallback),0.046,919.482
scalar,5000000,clean,default,64MB,group_c2,roaring,7,3.755,3.565–7.293,7.804,38.5%,—,LionCount,0.036,3.789
scalar,5000000,clean,default,64MB,group_c2,roaring_bitmap,7,881.531,850.536–994.561,1011.682,9.6%,—,Seq Scan (fallback),0.034,881.566
scalar,5000000,clean,default,64MB,group_c200,btree,7,396.417,393.780–398.471,399.608,0.6%,—,Index Only Scan,0.038,396.475
