2026-09-24 19:11:52.365 PDT [1900410] LOG:  checkpoint complete: wrote 11197 buffers (17.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.097 s, sync=0.017 s, total=0.144 s; sync files=15, longest=0.006 s, average=0.002 s; distance=45666 kB, estimate=724148 kB; lsn=0/8EC3F240, redo lsn=0/8EC3F1E8
2026-09-24 19:11:52.950 PDT [1900410] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:11:52.997 PDT [1900410] LOG:  checkpoint complete: wrote 895 buffers (1.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.009 s, sync=0.017 s, total=0.048 s; sync files=15, longest=0.006 s, average=0.002 s; distance=6236 kB, estimate=652357 kB; lsn=0/8F2562F8, redo lsn=0/8F2562A0
2026-09-24 19:14:49.531 PDT [1900410] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:14:50.155 PDT [1900410] LOG:  checkpoint complete: wrote 2071 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 72 recycled; write=0.025 s, sync=0.275 s, total=0.624 s; sync files=32, longest=0.248 s, average=0.009 s; distance=1192610 kB, estimate=1192610 kB; lsn=0/D7EFEE40, redo lsn=0/D7EFEDE8
2026-09-24 19:14:53.468 PDT [1900410] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:14:53.515 PDT [1900410] LOG:  checkpoint complete: wrote 17 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.005 s, sync=0.022 s, total=0.047 s; sync files=17, longest=0.012 s, average=0.002 s; distance=10036 kB, estimate=1074353 kB; lsn=0/D88CBF38, redo lsn=0/D88CBEE0
2026-09-24 19:14:57.774 PDT [1900410] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:14:57.821 PDT [1900410] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.005 s, sync=0.022 s, total=0.048 s; sync files=15, longest=0.010 s, average=0.002 s; distance=10420 kB, estimate=967960 kB; lsn=0/D92F8FB0, redo lsn=0/D92F8F58
2026-09-24 19:15:01.789 PDT [1900410] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:15:01.838 PDT [1900410] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.025 s, total=0.050 s; sync files=15, longest=0.013 s, average=0.002 s; distance=14455 kB, estimate=872609 kB; lsn=0/DA116BB8, redo lsn=0/DA116B60
2026-09-24 19:15:05.283 PDT [1900410] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:15:05.338 PDT [1900410] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.031 s, total=0.056 s; sync files=15, longest=0.019 s, average=0.003 s; distance=31316 kB, estimate=788480 kB; lsn=0/DBFABC18, redo lsn=0/DBFABBC0
2026-09-24 19:15:08.881 PDT [1900410] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:15:08.974 PDT [1900410] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 6 recycled; write=0.004 s, sync=0.047 s, total=0.093 s; sync files=15, longest=0.035 s, average=0.004 s; distance=84821 kB, estimate=718114 kB; lsn=0/E1281058, redo lsn=0/E1281000
2026-09-24 19:15:11.896 PDT [1900410] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:15:11.937 PDT [1900410] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.021 s, total=0.041 s; sync files=15, longest=0.008 s, average=0.002 s; distance=5262 kB, estimate=646829 kB; lsn=0/E17A4978, redo lsn=0/E17A4920
2026-09-24 19:18:24.003 PDT [1900406] LOG:  received fast shutdown request
2026-09-24 19:18:24.008 PDT [1900406] LOG:  aborting any active transactions
2026-09-24 19:18:24.009 PDT [1900406] LOG:  background worker "logical replication launcher" (PID 1900414) exited with exit code 1
2026-09-24 19:18:24.021 PDT [1900410] LOG:  shutting down
2026-09-24 19:18:24.025 PDT [1900410] LOG:  checkpoint starting: shutdown immediate
2026-09-24 19:18:24.180 PDT [1900410] LOG:  checkpoint complete: wrote 10 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 24 recycled; write=0.005 s, sync=0.034 s, total=0.159 s; sync files=22, longest=0.004 s, average=0.002 s; distance=385972 kB, estimate=620743 kB; lsn=0/F9091C60, redo lsn=0/F9091C60
2026-09-24 19:18:24.296 PDT [1900406] LOG:  database system is shut down
