suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,1000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,85.4945,82.396,88.593,0.035,Index Only Scan,,,,
scalar,1000000,gin,after_maintenance,default,64MB,eq_c200_17,2,3.545,3.458,3.632,0.052000000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,after_maintenance,default,64MB,group_c200,2,149.303,146.304,152.302,0.0315,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,and2,2,34.171,33.935,34.407,0.041499999999999995,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,and3,2,5.4094999999999995,5.266,5.553,0.065,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,and3_selective,2,0.5754999999999999,0.571,0.58,0.057,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c200_17,2,3.3645,3.047,3.682,0.054000000000000006,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c20k_123,2,0.058499999999999996,0.056,0.061,0.091,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c2_0,2,105.759,104.194,107.324,0.0335,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,fetch_medium,2,3.4295,3.307,3.552,0.052500000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,group_c200,2,143.7545,140.164,147.345,0.031,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,in_c20k_100,2,3.3725,2.931,3.814,0.1075,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,is_null,2,56.6455,55.138,58.153,0.025,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,range_random,2,38.891999999999996,37.644,40.14,0.045,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,and2,2,33.7655,33.323,34.208,0.0505,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c200_17,2,2.9805,2.807,3.154,0.042,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c2_0,2,101.96350000000001,99.652,104.275,0.037500000000000006,"Bitmap Heap Scan, Bitmap Index Scan",,,,
