suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,1000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,90.3075,88.974,91.641,0.056,Index Only Scan,,,,
scalar,1000000,gin,after_maintenance,default,64MB,eq_c200_17,2,3.3055,2.807,3.804,0.05,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,after_maintenance,default,64MB,group_c200,2,148.534,148.292,148.776,0.041499999999999995,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,and2,2,34.2575,34.004,34.511,0.051500000000000004,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,and3,2,5.298500000000001,5.272,5.325,0.051000000000000004,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c200_17,2,3.197,3.122,3.272,0.0635,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c20k_123,2,0.057,0.047,0.067,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c2_0,2,93.519,91.872,95.166,0.0435,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,fetch_medium,2,3.178,3.105,3.251,0.045,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,group_c200,2,145.74599999999998,141.006,150.486,0.041999999999999996,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,in_c20k_100,2,3.6835,3.661,3.706,0.1365,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,is_null,2,57.492000000000004,56.947,58.037,0.0235,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,range_random,2,41.405,40.589,42.221,0.052500000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,and2,2,37.1575,36.045,38.27,0.069,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c200_17,2,3.9885,3.512,4.465,0.078,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c2_0,2,100.06649999999999,99.292,100.841,0.043,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,group_c200,2,148.6485,147.497,149.8,0.0325,Seq Scan,,,,
scalar,1000000,gin,dirty_scattered,prefer_index,64MB,group_c200,2,143.4845,143.168,143.801,0.052,Seq Scan,,,,
scalar,1000000,roaring,after_maintenance,default,64MB,eq_c200_17,2,0.0545,0.054,0.055,0.063,RoaringCount,,,,
scalar,1000000,roaring,after_maintenance,default,64MB,group_c200,2,154.238,146.498,161.978,0.047,Seq Scan,,,,
scalar,1000000,roaring,clean,default,64MB,and2,2,0.34450000000000003,0.338,0.351,0.041,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,and3,2,0.3195,0.26,0.379,0.094,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,eq_c200_17,2,0.0305,0.028,0.033,0.0485,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,eq_c20k_123,2,0.012,0.011,0.013,0.0335,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,eq_c2_0,2,0.4255,0.403,0.448,0.034,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,fetch_medium,2,3.182,2.709,3.655,0.049,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring,clean,default,64MB,group_c200,2,4.1075,3.976,4.239,0.032,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,in_c20k_100,2,0.9395,0.589,1.29,0.191,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,is_null,2,0.0995,0.099,0.1,0.03,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,range_random,2,118.93350000000001,116.458,121.409,0.035,Seq Scan,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,and2,2,0.38449999999999995,0.361,0.408,0.044,RoaringCount,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,eq_c200_17,2,0.033,0.033,0.033,0.064,RoaringCount,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,eq_c2_0,2,68.0315,67.192,68.871,0.036000000000000004,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,group_c200,2,150.352,148.756,151.948,0.042499999999999996,Seq Scan,,,,
scalar,1000000,roaring,dirty_scattered,prefer_index,64MB,group_c200,2,4.0835,3.901,4.266,0.0315,RoaringCount,,,,
scalar,1000000,roaring_bitmap,after_maintenance,default,64MB,eq_c200_17,2,3.4234999999999998,3.225,3.622,0.056999999999999995,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,after_maintenance,default,64MB,group_c200,2,150.5305,150.266,150.795,0.032,Seq Scan,,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,and2,2,3.535,3.284,3.786,0.064,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,and3,2,2.6565000000000003,2.466,2.847,0.05,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c200_17,2,3.169,2.932,3.406,0.053,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c20k_123,2,0.055,0.048,0.062,0.0445,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c2_0,2,71.77000000000001,69.986,73.554,0.0595,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,fetch_medium,2,3.3625,2.925,3.8,0.041999999999999996,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,group_c200,2,160.453,152.752,168.154,0.035,Seq Scan,,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,in_c20k_100,2,4.0245,3.674,4.375,0.08549999999999999,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,is_null,2,29.104,27.15,31.058,0.0275,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,range_random,2,58.576,57.973,59.179,0.041499999999999995,Seq Scan,,,,
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,and2,2,3.6845,3.604,3.765,0.0665,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c200_17,2,2.959,2.543,3.375,0.0445,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c2_0,2,69.61099999999999,67.628,71.594,0.034,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,group_c200,2,156.40949999999998,151.98,160.839,0.043,Seq Scan,,,,
scalar,1000000,roaring_bitmap,dirty_scattered,prefer_index,64MB,group_c200,2,149.261,147.964,150.558,0.0525,Seq Scan,,,,
scalar,5000000,btree,after_maintenance,default,64MB,eq_c200_17,2,1.9465,1.922,1.971,0.0475,Index Only Scan,,,,
scalar,5000000,btree,after_maintenance,default,64MB,group_c200,2,450.20050000000003,450.173,450.228,0.051500000000000004,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,and2,2,20.590000000000003,19.946,21.234,0.073,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,clean,default,64MB,and3,2,14.900500000000001,14.361,15.44,0.0545,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,clean,default,64MB,eq_c200_17,2,1.8555,1.568,2.143,0.038000000000000006,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,eq_c20k_123,2,0.0325,0.032,0.033,0.033,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,eq_c2_0,2,177.649,177.605,177.693,0.051000000000000004,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,fetch_medium,2,21.122,19.962,22.282,0.0435,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,clean,default,64MB,group_c200,2,439.428,433.019,445.837,0.056499999999999995,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,in_c20k_100,2,1.658,1.606,1.71,0.109,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,is_null,2,42.1415,36.465,47.818,0.0345,Index Only Scan,,,,
scalar,5000000,btree,clean,default,64MB,range_random,2,1.723,1.578,1.868,0.07200000000000001,Index Only Scan,,,,
scalar,5000000,btree,dirty_scattered,default,64MB,and2,2,223.1175,221.272,224.963,0.068,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,5000000,btree,dirty_scattered,default,64MB,eq_c200_17,2,2.0825,1.809,2.356,0.06,Index Only Scan,,,,
scalar,5000000,btree,dirty_scattered,default,64MB,eq_c2_0,2,677.087,658.452,695.722,0.0535,"Bitmap Heap Scan, Bitmap Index Scan",,,,
