am	vacuum_ms	wal_bytes	idx_bytes_before	idx_bytes_after	wal_by_rmgr
lion	1050	169425944	75915264	76283904	Generic 82 MB/49 MBfpi/20222; XLOG 78 MB/78 MBfpi/10012; Heap2 1141 kB/8192 bytesfpi/20003; Heap 46 kB/35 kBfpi/25; Btree 857 bytes/740 bytesfpi/2; Transaction 34 bytes/0 bytesfpi/1
btree	620	145065864	68829184	68829184	XLOG 78 MB/78 MBfpi/10009; Btree 58 MB/58 MBfpi/8312; Heap2 1141 kB/8192 bytesfpi/20003; Heap 51 kB/42 kBfpi/26; Transaction 34 bytes/0 bytesfpi/1
