suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,1000000,gin,after_maintenance,default,64MB,eq_c200_17,2,3.128,2.8,3.456,0.08,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,after_maintenance,default,64MB,group_c200,2,150.6455,148.155,153.136,0.0435,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,and2,2,33.4695,33.315,33.624,0.0435,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,and3,2,5.069,5.026,5.112,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c200_17,2,2.827,2.715,2.939,0.0345,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c20k_123,2,0.0505,0.046,0.055,0.042,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c2_0,2,93.01050000000001,87.008,99.013,0.035500000000000004,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,fetch_medium,2,3.2285,2.972,3.485,0.0395,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,group_c200,2,142.057,142.045,142.069,0.040999999999999995,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,in_c20k_100,2,3.417,3.272,3.562,0.1085,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,is_null,2,56.189499999999995,54.379,58.0,0.0245,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,range_random,2,38.5325,38.199,38.866,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,and2,2,34.0355,33.884,34.187,0.058499999999999996,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c200_17,2,3.01,2.98,3.04,0.045,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c2_0,2,88.2225,86.763,89.682,0.037000000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,group_c200,2,146.72699999999998,143.998,149.456,0.031,Seq Scan,,,,
scalar,1000000,gin,dirty_scattered,prefer_index,64MB,group_c200,2,141.8125,140.332,143.293,0.0455,Seq Scan,,,,
scalar,1000000,roaring,after_maintenance,default,64MB,eq_c200_17,2,0.049,0.041,0.057,0.054,LionCount,,,,
scalar,1000000,roaring,after_maintenance,default,64MB,group_c200,2,4.4635,4.358,4.569,0.032,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,and2,2,0.357,0.339,0.375,0.041999999999999996,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,and3,2,0.29500000000000004,0.275,0.315,0.0645,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,eq_c200_17,2,0.028499999999999998,0.027,0.03,0.1145,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,eq_c20k_123,2,0.0165,0.013,0.02,0.037,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,eq_c2_0,2,0.40800000000000003,0.4,0.416,0.0345,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,fetch_medium,2,3.0285,2.693,3.364,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring,clean,default,64MB,group_c200,2,3.8739999999999997,3.712,4.036,0.0325,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,in_c20k_100,2,0.5765,0.557,0.596,0.111,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,is_null,2,0.114,0.099,0.129,0.124,LionCount,,,,
scalar,1000000,roaring,clean,default,64MB,range_random,2,119.384,114.71,124.058,0.033,Seq Scan,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,and2,2,0.3525,0.35,0.355,0.0385,LionCount,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,eq_c200_17,2,0.0305,0.027,0.034,0.034,LionCount,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,eq_c2_0,2,0.3975,0.391,0.404,0.0335,LionCount,,,,
scalar,1000000,roaring,dirty_scattered,default,64MB,group_c200,2,3.6985,3.698,3.699,0.0315,LionCount,,,,
scalar,1000000,roaring,dirty_scattered,prefer_index,64MB,group_c200,2,3.89,3.873,3.907,0.0325,LionCount,,,,
scalar,1000000,roaring_bitmap,after_maintenance,default,64MB,eq_c200_17,2,3.0515,2.983,3.12,0.0645,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,after_maintenance,default,64MB,group_c200,2,145.2405,141.333,149.148,0.031,Seq Scan,,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,and2,2,6.678,6.487,6.869,0.0475,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,and3,2,2.34,2.295,2.385,0.053,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c200_17,2,2.6355,2.514,2.757,0.035500000000000004,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c20k_123,2,0.0475,0.045,0.05,0.0365,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,eq_c2_0,2,62.757999999999996,61.945,63.571,0.0585,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,fetch_medium,2,2.8064999999999998,2.776,2.837,0.0365,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,group_c200,2,142.688,142.582,142.794,0.0315,Seq Scan,,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,in_c20k_100,2,3.3865,3.343,3.43,0.083,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,is_null,2,26.0415,24.074,28.009,0.027,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,clean,default,64MB,range_random,2,55.235,54.818,55.652,0.035500000000000004,Seq Scan,,,,
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,and2,2,3.1545,3.101,3.208,0.064,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c200_17,2,2.7824999999999998,2.471,3.094,0.047,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,eq_c2_0,2,66.3565,62.249,70.464,0.034,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,roaring_bitmap,dirty_scattered,default,64MB,group_c200,2,142.659,142.251,143.067,0.0335,Seq Scan,,,,
scalar,1000000,roaring_bitmap,dirty_scattered,prefer_index,64MB,group_c200,2,139.688,137.891,141.485,0.056999999999999995,Seq Scan,,,,
scalar,5000000,btree,after_maintenance,default,64MB,eq_c200_17,2,1.773,1.666,1.88,0.048,Index Only Scan,,,,
scalar,5000000,btree,after_maintenance,default,64MB,group_c200,2,464.946,457.902,471.99,0.036,Index Only Scan,,,,
