burst8_roaring_sc_on	12.397	80154208	tps=641.590617 p95_ms=16.264 rows=321100
burst8_btree_sc_on	5.457	103275920	tps=1442.147269 p95_ms=8.491 rows=720900
burst8_none_sc_on	3.584	85832144	tps=2363.496334 p95_ms=3.961 rows=1181500
burst8_roaring_sc_off	12.340	82109248	tps=648.373329 p95_ms=15.825 rows=324300
burst8_btree_sc_off	4.011	144333440	tps=2007.675087 p95_ms=6.402 rows=1003800
burst8_none_sc_off	0.385	581176696	tps=16017.829348 p95_ms=1.133 rows=8002200
