burst_roaring_keys2_c1	2.506	-	tps=366.828410 p95_ms=3.526
burst_roaring_keys2_c4	6.921	-	tps=603.809544 p95_ms=9.826
burst_roaring_keys2_c8	12.763	-	tps=627.206839 p95_ms=16.618
burst_btree_keys2_c1	1.911	-	tps=465.561221 p95_ms=2.882
burst_btree_keys2_c4	3.711	-	tps=1065.790500 p95_ms=5.367
burst_btree_keys2_c8	5.574	-	tps=1412.425494 p95_ms=8.517
burst_none_keys2_c1	1.726	-	tps=511.629314 p95_ms=2.652
burst_none_keys2_c4	3.630	-	tps=1168.024863 p95_ms=4.021
burst_none_keys2_c8	3.578	-	tps=2347.147255 p95_ms=4.121
burst_roaring_keys1000_c1	2.492	-	tps=376.209087 p95_ms=3.479
burst_roaring_keys1000_c4	3.751	-	tps=1072.300398 p95_ms=5.451
burst_roaring_keys1000_c8	3.941	-	tps=1866.973745 p95_ms=6.230
burst_btree_keys1000_c1	1.930	-	tps=459.156802 p95_ms=2.920
burst_btree_keys1000_c4	3.685	-	tps=1147.671671 p95_ms=4.095
burst_btree_keys1000_c8	3.574	-	tps=2241.725484 p95_ms=5.263
burst_none_keys1000_c1	1.673	-	tps=527.852667 p95_ms=2.593
burst_none_keys1000_c4	3.633	-	tps=1135.498674 p95_ms=4.166
burst_none_keys1000_c8	3.655	-	tps=2270.276733 p95_ms=4.107
