2026-09-24 15:26:05.149 PDT [1877464] LOG:  checkpoint complete: wrote 159 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.006 s, sync=0.017 s, total=0.037 s; sync files=18, longest=0.004 s, average=0.001 s; distance=1162 kB, estimate=269594 kB; lsn=0/2E95C778, redo lsn=0/2E95C720
2026-09-24 15:26:05.254 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:05.289 PDT [1877464] LOG:  checkpoint complete: wrote 216 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.016 s, total=0.036 s; sync files=15, longest=0.004 s, average=0.002 s; distance=1450 kB, estimate=242780 kB; lsn=0/2EAC72E0, redo lsn=0/2EAC7288
2026-09-24 15:26:05.438 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:05.475 PDT [1877464] LOG:  checkpoint complete: wrote 616 buffers (0.9%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.007 s, sync=0.015 s, total=0.038 s; sync files=15, longest=0.004 s, average=0.001 s; distance=2115 kB, estimate=218713 kB; lsn=0/2ECD8030, redo lsn=0/2ECD7FC0
2026-09-24 15:26:05.705 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:05.748 PDT [1877464] LOG:  checkpoint complete: wrote 876 buffers (1.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.009 s, sync=0.015 s, total=0.043 s; sync files=15, longest=0.004 s, average=0.001 s; distance=3669 kB, estimate=197209 kB; lsn=0/2F06D420, redo lsn=0/2F06D3C8
2026-09-24 15:26:06.921 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:07.004 PDT [1877464] LOG:  checkpoint complete: wrote 4903 buffers (7.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.039 s, sync=0.024 s, total=0.083 s; sync files=15, longest=0.010 s, average=0.002 s; distance=19950 kB, estimate=179483 kB; lsn=0/303E8DD8, redo lsn=0/303E8D80
2026-09-24 15:26:07.125 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:07.161 PDT [1877464] LOG:  checkpoint complete: wrote 211 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.015 s, total=0.036 s; sync files=15, longest=0.006 s, average=0.001 s; distance=1330 kB, estimate=161668 kB; lsn=0/30535908, redo lsn=0/305358B0
2026-09-24 15:26:16.639 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:16.816 PDT [1877464] LOG:  checkpoint complete: wrote 10639 buffers (16.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 4 recycled; write=0.117 s, sync=0.030 s, total=0.178 s; sync files=21, longest=0.005 s, average=0.002 s; distance=76398 kB, estimate=153141 kB; lsn=0/34FD1488, redo lsn=0/34FD1430
2026-09-24 15:26:16.889 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:16.928 PDT [1877464] LOG:  checkpoint complete: wrote 380 buffers (0.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.007 s, sync=0.014 s, total=0.040 s; sync files=10, longest=0.005 s, average=0.002 s; distance=12592 kB, estimate=139086 kB; lsn=0/35C1D628, redo lsn=0/35C1D5D0
2026-09-24 15:26:17.053 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:17.095 PDT [1877464] LOG:  checkpoint complete: wrote 750 buffers (1.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 0 recycled; write=0.009 s, sync=0.012 s, total=0.043 s; sync files=12, longest=0.005 s, average=0.001 s; distance=15999 kB, estimate=126777 kB; lsn=0/36BBD570, redo lsn=0/36BBD518
2026-09-24 15:26:17.229 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:17.405 PDT [1877464] LOG:  checkpoint complete: wrote 10364 buffers (15.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 4 recycled; write=0.122 s, sync=0.019 s, total=0.177 s; sync files=3, longest=0.016 s, average=0.007 s; distance=74984 kB, estimate=121598 kB; lsn=0/3B4F7830, redo lsn=0/3B4F77D8
2026-09-24 15:26:21.389 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:21.600 PDT [1877464] LOG:  checkpoint complete: wrote 2054 buffers (3.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 19 recycled; write=0.027 s, sync=0.095 s, total=0.211 s; sync files=30, longest=0.068 s, average=0.004 s; distance=307054 kB, estimate=307054 kB; lsn=0/4E0D3260, redo lsn=0/4E0D3208
2026-09-24 15:26:22.178 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:22.217 PDT [1877464] LOG:  checkpoint complete: wrote 17 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.019 s, total=0.039 s; sync files=17, longest=0.007 s, average=0.002 s; distance=2085 kB, estimate=276557 kB; lsn=0/4E2DC838, redo lsn=0/4E2DC7E0
2026-09-24 15:26:24.789 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:24.828 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.020 s, total=0.040 s; sync files=15, longest=0.007 s, average=0.002 s; distance=2147 kB, estimate=249116 kB; lsn=0/4E4F5608, redo lsn=0/4E4F55B0
2026-09-24 15:26:25.501 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:25.542 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.021 s, total=0.041 s; sync files=15, longest=0.008 s, average=0.002 s; distance=2974 kB, estimate=224502 kB; lsn=0/4E7DCF48, redo lsn=0/4E7DCEF0
2026-09-24 15:26:26.153 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:26.193 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.021 s, total=0.040 s; sync files=15, longest=0.008 s, average=0.002 s; distance=7186 kB, estimate=202770 kB; lsn=0/4EEE1B08, redo lsn=0/4EEE1AB0
2026-09-24 15:26:27.101 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:26:27.168 PDT [1877464] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.004 s, sync=0.034 s, total=0.068 s; sync files=15, longest=0.021 s, average=0.003 s; distance=40837 kB, estimate=186577 kB; lsn=0/516C32A0, redo lsn=0/516C3248
2026-09-24 15:26:27.734 PDT [1877464] LOG:  checkpoint starting: immediate force wait
