am	cycle	vacuum_ms	wal_bytes	idx_bytes	entries_k	entries_h	deleted_pages
lion	1	135	4694392	14802944	100000	2	0
lion	2	121	8170744	15015936	100000	2	0
lion	3	138	5861592	15196160	100000	2	0
lion	4	123	8119888	15392768	100000	2	0
lion	5	140	6370568	15589376	100000	2	0
btree	1	58	3400472	5898240	-1	-1	-1
btree	2	60	3426664	9420800	-1	-1	-1
btree	3	60	3422064	9715712	-1	-1	-1
btree	4	56	3384328	10272768	-1	-1	-1
btree	5	60	3409656	10272768	-1	-1	-1
