2026-09-25 09:15:53.431 PDT [2049302] LOG:  checkpoint complete: wrote 876 buffers (1.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.011 s, sync=0.018 s, total=0.046 s; sync files=15, longest=0.005 s, average=0.002 s; distance=3670 kB, estimate=118799 kB; lsn=0/1A8B2908, redo lsn=0/1A8B28B0
2026-09-25 09:15:54.708 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:15:54.781 PDT [2049302] LOG:  checkpoint complete: wrote 4903 buffers (7.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.037 s, sync=0.017 s, total=0.074 s; sync files=15, longest=0.005 s, average=0.002 s; distance=19951 kB, estimate=108914 kB; lsn=0/1BC2E568, redo lsn=0/1BC2E510
2026-09-25 09:15:54.918 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:15:54.958 PDT [2049302] LOG:  checkpoint complete: wrote 211 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.006 s, sync=0.017 s, total=0.040 s; sync files=15, longest=0.005 s, average=0.002 s; distance=1332 kB, estimate=98156 kB; lsn=0/1BD7B608, redo lsn=0/1BD7B5B0
2026-09-25 09:16:08.810 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:09.022 PDT [2049302] LOG:  checkpoint complete: wrote 10645 buffers (16.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 5 recycled; write=0.133 s, sync=0.037 s, total=0.213 s; sync files=23, longest=0.023 s, average=0.002 s; distance=76434 kB, estimate=95984 kB; lsn=0/2081FFC0, redo lsn=0/2081FF68
2026-09-25 09:16:09.098 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:09.137 PDT [2049302] LOG:  checkpoint complete: wrote 380 buffers (0.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.007 s, sync=0.012 s, total=0.040 s; sync files=10, longest=0.006 s, average=0.002 s; distance=12592 kB, estimate=87645 kB; lsn=0/2146C178, redo lsn=0/2146C120
2026-09-25 09:16:09.270 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:09.312 PDT [2049302] LOG:  checkpoint complete: wrote 750 buffers (1.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.009 s, sync=0.013 s, total=0.042 s; sync files=12, longest=0.006 s, average=0.002 s; distance=15997 kB, estimate=80480 kB; lsn=0/2240B5A8, redo lsn=0/2240B550
2026-09-25 09:16:09.449 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:09.629 PDT [2049302] LOG:  checkpoint complete: wrote 10364 buffers (15.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 4 recycled; write=0.126 s, sync=0.023 s, total=0.181 s; sync files=3, longest=0.021 s, average=0.008 s; distance=74984 kB, estimate=79930 kB; lsn=0/26D45858, redo lsn=0/26D45800
2026-09-25 09:16:13.980 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:14.160 PDT [2049302] LOG:  checkpoint complete: wrote 2057 buffers (3.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 19 recycled; write=0.024 s, sync=0.069 s, total=0.181 s; sync files=31, longest=0.042 s, average=0.003 s; distance=307060 kB, estimate=307060 kB; lsn=0/39922C00, redo lsn=0/39922BA8
