2026-09-24 19:01:46.406 PDT [1899916] LOG:  checkpoint complete: wrote 159 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.020 s, total=0.042 s; sync files=18, longest=0.006 s, average=0.002 s; distance=1162 kB, estimate=269594 kB; lsn=0/2E95C5F0, redo lsn=0/2E95C598
2026-09-24 19:01:46.526 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:46.565 PDT [1899916] LOG:  checkpoint complete: wrote 216 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.018 s, total=0.039 s; sync files=15, longest=0.006 s, average=0.002 s; distance=1450 kB, estimate=242780 kB; lsn=0/2EAC7108, redo lsn=0/2EAC70B0
2026-09-24 19:01:46.702 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:46.743 PDT [1899916] LOG:  checkpoint complete: wrote 616 buffers (0.9%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.008 s, sync=0.018 s, total=0.042 s; sync files=15, longest=0.006 s, average=0.002 s; distance=2115 kB, estimate=218713 kB; lsn=0/2ECD7E40, redo lsn=0/2ECD7DE8
2026-09-24 19:01:46.993 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:47.040 PDT [1899916] LOG:  checkpoint complete: wrote 876 buffers (1.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.009 s, sync=0.017 s, total=0.048 s; sync files=15, longest=0.006 s, average=0.002 s; distance=3669 kB, estimate=197209 kB; lsn=0/2F06D248, redo lsn=0/2F06D1F0
2026-09-24 19:01:48.245 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:48.314 PDT [1899916] LOG:  checkpoint complete: wrote 4903 buffers (7.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.031 s, sync=0.018 s, total=0.070 s; sync files=15, longest=0.006 s, average=0.002 s; distance=19950 kB, estimate=179483 kB; lsn=0/303E8C00, redo lsn=0/303E8BA8
2026-09-24 19:01:48.431 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:48.468 PDT [1899916] LOG:  checkpoint complete: wrote 211 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.015 s, total=0.037 s; sync files=15, longest=0.006 s, average=0.001 s; distance=1330 kB, estimate=161668 kB; lsn=0/30535730, redo lsn=0/305356D8
2026-09-24 19:01:59.074 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:59.276 PDT [1899916] LOG:  checkpoint complete: wrote 10641 buffers (16.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 4 recycled; write=0.142 s, sync=0.021 s, total=0.202 s; sync files=22, longest=0.006 s, average=0.001 s; distance=76404 kB, estimate=153141 kB; lsn=0/34FD2B40, redo lsn=0/34FD2AB0
2026-09-24 19:01:59.354 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:59.394 PDT [1899916] LOG:  checkpoint complete: wrote 380 buffers (0.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.007 s, sync=0.014 s, total=0.040 s; sync files=10, longest=0.005 s, average=0.002 s; distance=12592 kB, estimate=139086 kB; lsn=0/35C1ECE0, redo lsn=0/35C1EC88
2026-09-24 19:01:59.525 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:59.567 PDT [1899916] LOG:  checkpoint complete: wrote 749 buffers (1.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 0 recycled; write=0.008 s, sync=0.015 s, total=0.043 s; sync files=11, longest=0.005 s, average=0.002 s; distance=15993 kB, estimate=126777 kB; lsn=0/36BBD178, redo lsn=0/36BBD120
2026-09-24 19:01:59.710 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:59.880 PDT [1899916] LOG:  checkpoint complete: wrote 10364 buffers (15.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 4 recycled; write=0.111 s, sync=0.021 s, total=0.170 s; sync files=3, longest=0.019 s, average=0.007 s; distance=74984 kB, estimate=121598 kB; lsn=0/3B4F7438, redo lsn=0/3B4F73E0
2026-09-24 19:02:03.850 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:04.053 PDT [1899916] LOG:  checkpoint complete: wrote 2057 buffers (3.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 19 recycled; write=0.034 s, sync=0.075 s, total=0.203 s; sync files=32, longest=0.048 s, average=0.003 s; distance=307061 kB, estimate=307061 kB; lsn=0/4E0D4A98, redo lsn=0/4E0D4A40
2026-09-24 19:02:04.669 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:04.713 PDT [1899916] LOG:  checkpoint complete: wrote 17 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.024 s, total=0.044 s; sync files=17, longest=0.005 s, average=0.002 s; distance=2085 kB, estimate=276563 kB; lsn=0/4E2DE070, redo lsn=0/4E2DE018
2026-09-24 19:02:05.427 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:05.465 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.017 s, total=0.038 s; sync files=15, longest=0.005 s, average=0.002 s; distance=2147 kB, estimate=249122 kB; lsn=0/4E4F6E40, redo lsn=0/4E4F6DE8
2026-09-24 19:02:06.156 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:06.193 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.018 s, total=0.038 s; sync files=15, longest=0.007 s, average=0.002 s; distance=2974 kB, estimate=224507 kB; lsn=0/4E7DE780, redo lsn=0/4E7DE728
2026-09-24 19:02:06.824 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:06.862 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.018 s, total=0.038 s; sync files=15, longest=0.007 s, average=0.002 s; distance=7186 kB, estimate=202775 kB; lsn=0/4EEE3340, redo lsn=0/4EEE32E8
2026-09-24 19:02:07.783 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:07.844 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.004 s, sync=0.028 s, total=0.061 s; sync files=15, longest=0.015 s, average=0.002 s; distance=40837 kB, estimate=186581 kB; lsn=0/516C4AD8, redo lsn=0/516C4A80
2026-09-24 19:02:08.412 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:08.450 PDT [1899916] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.018 s, total=0.039 s; sync files=15, longest=0.006 s, average=0.002 s; distance=1156 kB, estimate=168039 kB; lsn=0/517E5AF0, redo lsn=0/517E5A98
2026-09-24 19:02:20.675 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:02:20.891 PDT [1899916] LOG:  checkpoint complete: wrote 10021 buffers (15.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 5 recycled; write=0.154 s, sync=0.027 s, total=0.216 s; sync files=21, longest=0.013 s, average=0.002 s; distance=77309 kB, estimate=158966 kB; lsn=0/563652A8, redo lsn=0/56365250
2026-09-24 19:02:21.177 PDT [1899916] LOG:  checkpoint starting: immediate force wait
